id,channel_code,latitude,longitude,elevation
FR.CIEL.00,HH,48.832627,7.363752,150.0
FR.SZBH.02,HH,48.932541,7.863045,-100.0
FR.LEMB.00,HH,49.034731,7.759407,146.0
FR.HOHE.00,HH,48.658742,7.484304,146.0
FO.BETS.00,HH,48.89357,7.92429,146.0
RG.RITT.00,EL,48.89436,7.96103,138.0
RG.KUHL.00,EL,48.91473,7.92996,176.0
FO.OPS.00,HH,48.92126,7.88278,198.0
RG.SCHW.00,EL,48.896,7.8665,143.0
RG.OBER.00,EL,48.93164,7.96716,177.0
RG.STUN.00,EL,48.91914,7.99119,146.0
RG.SUBF.00,EL,48.91561,7.84804,203.0
RG.FOR.00,EL,48.93882,7.86487,156.0
RG.KEFF.00,EL,48.9693,7.8745,208.0
RG.GUNS.00,EL,48.92276,7.78691,224.0
RG.LAMP.00,EL,48.96426,7.81077,257.0
