,id,start_time,peak_time,end_time,peak_value,phase
0,FR.HOHE.00,2024-03-02T06:30:22.500000Z,2024-03-02T06:30:22.670000Z,2024-03-02T06:30:22.910000Z,0.8704395,P
1,FR.HOHE.00,2024-03-02T06:30:28.100000Z,2024-03-02T06:30:28.300000Z,2024-03-02T06:30:28.510000Z,0.8719856,S
2,FR.HOHE.00,2024-03-02T06:30:55.500000Z,2024-03-02T06:30:55.510000Z,2024-03-02T06:30:55.590000Z,0.20747802,P
3,FR.HOHE.00,2024-03-02T06:31:00.850000Z,2024-03-02T06:31:01.010000Z,2024-03-02T06:31:01.220000Z,0.56743944,S
4,FR.HOHE.00,2024-03-02T06:31:06.160000Z,2024-03-02T06:31:06.180000Z,2024-03-02T06:31:06.350000Z,0.21379115,S
5,FR.HOHE.00,2024-03-02T06:31:17.310000Z,2024-03-02T06:31:17.500000Z,2024-03-02T06:31:17.740000Z,0.7824405,P
6,FR.HOHE.00,2024-03-02T06:31:22.930000Z,2024-03-02T06:31:23.120000Z,2024-03-02T06:31:23.340000Z,0.8127481,S
7,RG.STUN.00,2024-03-02T06:28:03.869538Z,2024-03-02T06:28:03.929538Z,2024-03-02T06:28:04.089538Z,0.3924471,S
8,RG.STUN.00,2024-03-02T06:29:08.969538Z,2024-03-02T06:29:09.139538Z,2024-03-02T06:29:09.379538Z,0.44438297,S
9,RG.STUN.00,2024-03-02T06:30:11.919538Z,2024-03-02T06:30:12.049538Z,2024-03-02T06:30:12.219538Z,0.47331682,P
10,RG.STUN.00,2024-03-02T06:30:16.019538Z,2024-03-02T06:30:16.209538Z,2024-03-02T06:30:16.419538Z,0.90018666,P
11,RG.STUN.00,2024-03-02T06:30:17.369538Z,2024-03-02T06:30:17.549538Z,2024-03-02T06:30:17.759538Z,0.9431837,S
12,RG.STUN.00,2024-03-02T06:30:21.749538Z,2024-03-02T06:30:21.839538Z,2024-03-02T06:30:21.989538Z,0.25805062,P
13,RG.STUN.00,2024-03-02T06:30:48.829538Z,2024-03-02T06:30:49.009538Z,2024-03-02T06:30:49.219538Z,0.976772,P
14,RG.STUN.00,2024-03-02T06:30:50.129538Z,2024-03-02T06:30:50.309538Z,2024-03-02T06:30:50.509538Z,0.9534573,S
15,RG.STUN.00,2024-03-02T06:30:53.879538Z,2024-03-02T06:30:54.039538Z,2024-03-02T06:30:54.249538Z,0.7784804,P
16,RG.STUN.00,2024-03-02T06:30:55.229538Z,2024-03-02T06:30:55.379538Z,2024-03-02T06:30:55.569538Z,0.6559706,S
17,RG.STUN.00,2024-03-02T06:31:10.889538Z,2024-03-02T06:31:11.069538Z,2024-03-02T06:31:11.279538Z,0.97053146,P
18,RG.STUN.00,2024-03-02T06:31:12.199538Z,2024-03-02T06:31:12.369538Z,2024-03-02T06:31:12.579538Z,0.9150317,S
19,RG.STUN.00,2024-03-02T06:31:32.959538Z,2024-03-02T06:31:33.149538Z,2024-03-02T06:31:33.339538Z,0.58760977,S
20,RG.STUN.00,2024-03-02T06:31:47.649538Z,2024-03-02T06:31:47.649538Z,2024-03-02T06:31:47.859538Z,0.27983287,S
21,RG.STUN.00,2024-03-02T06:32:17.939538Z,2024-03-02T06:32:17.999538Z,2024-03-02T06:32:18.189538Z,0.29497164,P
22,RG.STUN.00,2024-03-02T06:32:18.969538Z,2024-03-02T06:32:19.009538Z,2024-03-02T06:32:19.149538Z,0.24930277,P
23,RG.STUN.00,2024-03-02T06:32:22.479538Z,2024-03-02T06:32:22.559538Z,2024-03-02T06:32:22.789538Z,0.26412144,S
24,RG.STUN.00,2024-03-02T06:32:41.719538Z,2024-03-02T06:32:41.789538Z,2024-03-02T06:32:41.989538Z,0.35120833,S
25,RG.STUN.00,2024-03-02T06:32:46.969538Z,2024-03-02T06:32:47.049538Z,2024-03-02T06:32:47.269538Z,0.33007154,P
26,RG.STUN.00,2024-03-02T06:32:48.349538Z,2024-03-02T06:32:48.359538Z,2024-03-02T06:32:48.519538Z,0.22653328,S
27,RG.STUN.00,2024-03-02T06:32:50.669538Z,2024-03-02T06:32:50.839538Z,2024-03-02T06:32:51.019538Z,0.42978266,S
28,RG.STUN.00,2024-03-02T06:32:53.779538Z,2024-03-02T06:32:53.929538Z,2024-03-02T06:32:54.139538Z,0.52434963,P
29,RG.STUN.00,2024-03-02T06:34:09.289538Z,2024-03-02T06:34:09.349538Z,2024-03-02T06:34:09.559538Z,0.3043963,P
30,RG.STUN.00,2024-03-02T06:34:12.899538Z,2024-03-02T06:34:13.029538Z,2024-03-02T06:34:13.229538Z,0.6166498,P
31,RG.STUN.00,2024-03-02T06:34:14.099538Z,2024-03-02T06:34:14.269538Z,2024-03-02T06:34:14.479538Z,0.7933011,S
